,lon,lat
0,29.59024236,-0.998793508
1,29.59024236,-1.033793508
2,29.59024236,-1.068793508
3,29.59024236,-1.103793507
4,29.59024236,-1.138793507
5,29.59024236,-1.173793507
6,29.59024236,-1.383793506
7,29.62524236,-0.718793509
8,29.62524236,-0.788793509
9,29.62524236,-0.928793508
10,29.62524236,-0.963793508
11,29.62524236,-0.998793508
12,29.62524236,-1.033793508
13,29.62524236,-1.068793508
14,29.62524236,-1.103793507
15,29.62524236,-1.138793507
16,29.62524236,-1.173793507
17,29.62524236,-1.208793507
18,29.62524236,-1.243793507
19,29.62524236,-1.278793507
20,29.62524236,-1.313793507
21,29.62524236,-1.348793507
22,29.62524236,-1.383793506
23,29.66024236,-0.43879351
24,29.66024236,-0.613793509
25,29.66024236,-0.648793509
26,29.66024236,-0.683793509
27,29.66024236,-0.718793509
28,29.66024236,-0.753793509
29,29.66024236,-0.788793509
30,29.66024236,-0.823793509
31,29.66024236,-0.858793508
32,29.66024236,-0.893793508
33,29.66024236,-0.928793508
34,29.66024236,-0.963793508
35,29.66024236,-0.998793508
36,29.66024236,-1.033793508
37,29.66024236,-1.068793508
38,29.66024236,-1.103793507
39,29.66024236,-1.138793507
40,29.66024236,-1.173793507
41,29.66024236,-1.208793507
42,29.66024236,-1.243793507
43,29.66024236,-1.278793507
44,29.66024236,-1.313793507
45,29.66024236,-1.348793507
46,29.69524236,-0.263793511
47,29.69524236,-0.298793511
48,29.69524236,-0.333793511
49,29.69524236,-0.36879351
50,29.69524236,-0.40379351
51,29.69524236,-0.43879351
52,29.69524236,-0.47379351
53,29.69524236,-0.50879351
54,29.69524236,-0.54379351
55,29.69524236,-0.57879351
56,29.69524236,-0.613793509
57,29.69524236,-0.648793509
58,29.69524236,-0.683793509
59,29.69524236,-0.718793509
60,29.69524236,-0.753793509
61,29.69524236,-0.788793509
62,29.69524236,-0.823793509
63,29.69524236,-0.858793508
64,29.69524236,-0.893793508
65,29.69524236,-0.928793508
66,29.69524236,-0.963793508
67,29.69524236,-0.998793508
68,29.69524236,-1.033793508
69,29.69524236,-1.068793508
70,29.69524236,-1.103793507
71,29.69524236,-1.138793507
72,29.69524236,-1.173793507
73,29.69524236,-1.208793507
74,29.69524236,-1.243793507
75,29.69524236,-1.278793507
76,29.69524236,-1.313793507
77,29.69524236,-1.348793507
78,29.73024236,0.051206488
79,29.73024236,0.016206488
80,29.73024236,-0.053793512
81,29.73024236,-0.088793512
82,29.73024236,-0.123793511
83,29.73024236,-0.158793511
84,29.73024236,-0.193793511
85,29.73024236,-0.228793511
86,29.73024236,-0.263793511
87,29.73024236,-0.298793511
88,29.73024236,-0.333793511
89,29.73024236,-0.36879351
90,29.73024236,-0.40379351
91,29.73024236,-0.43879351
92,29.73024236,-0.47379351
93,29.73024236,-0.50879351
94,29.73024236,-0.54379351
95,29.73024236,-0.57879351
96,29.73024236,-0.613793509
97,29.73024236,-0.648793509
98,29.73024236,-0.683793509
99,29.73024236,-0.718793509
100,29.73024236,-0.753793509
101,29.73024236,-0.788793509
102,29.73024236,-0.823793509
103,29.73024236,-0.858793508
104,29.73024236,-0.893793508
105,29.73024236,-0.928793508
106,29.73024236,-0.963793508
107,29.73024236,-0.998793508
108,29.73024236,-1.033793508
109,29.73024236,-1.068793508
110,29.73024236,-1.103793507
111,29.73024236,-1.138793507
112,29.73024236,-1.173793507
113,29.73024236,-1.208793507
114,29.73024236,-1.243793507
115,29.73024236,-1.278793507
116,29.73024236,-1.313793507
117,29.76524236,0.121206488
118,29.76524236,0.086206488
119,29.76524236,0.051206488
120,29.76524236,0.016206488
121,29.76524236,-0.018793512
122,29.76524236,-0.053793512
123,29.76524236,-0.088793512
124,29.76524236,-0.123793511
125,29.76524236,-0.158793511
126,29.76524236,-0.193793511
127,29.76524236,-0.228793511
128,29.76524236,-0.263793511
129,29.76524236,-0.298793511
130,29.76524236,-0.333793511
131,29.76524236,-0.36879351
132,29.76524236,-0.40379351
133,29.76524236,-0.43879351
134,29.76524236,-0.47379351
135,29.76524236,-0.50879351
136,29.76524236,-0.54379351
137,29.76524236,-0.57879351
138,29.76524236,-0.613793509
139,29.76524236,-0.648793509
140,29.76524236,-0.683793509
